epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.27342,4.32756,4.75245,4.25778,0,0,0,0,4.21625,4.14397,4.16027,8.335e-05,8.335e-05,8.335e-05
2,1.99689,4.44723,4.55191,4.308,0,0,0,0,4.21628,4.14392,4.1605,0.000177697,0.000177697,0.000177697
3,2.69721,4.54565,4.61024,4.19795,0,0,0,0,4.21621,4.14761,4.16059,0.000265855,0.000265855,0.000265855
4,3.40365,4.33632,4.20839,4.1619,0,0,0,0,4.216,4.15474,4.16067,0.000347825,0.000347825,0.000347825
5,4.11414,3.99601,4.15792,4.09704,0,0,0,0,4.22054,4.16229,4.15989,0.000423606,0.000423606,0.000423606
6,4.83818,4.12919,4.04514,4.07167,0,0,0,0,4.22002,4.08691,4.15963,0.000493198,0.000493198,0.000493198
7,5.54783,3.68159,3.88578,4.0041,0,0,0,0,4.22055,4.0851,4.15825,0.000556601,0.000556601,0.000556601
8,6.25603,3.87509,3.62737,3.76094,0,0,0,0,4.22075,4.12323,4.1605,0.000613815,0.000613815,0.000613815
9,6.95829,3.72939,3.53736,3.71801,0,0,0,0,4.23363,4.17951,4.1728,0.000664841,0.000664841,0.000664841
10,7.65951,3.59172,3.35561,3.46174,0,0,0,0,4.24279,4.23585,4.18528,0.000709678,0.000709678,0.000709678
11,8.36144,3.28751,3.08801,3.31864,0,0,0,0,4.25845,4.28834,4.20427,0.000748327,0.000748327,0.000748327
12,9.05144,3.18915,2.95084,3.23353,0,0,0,0,4.28096,4.51582,4.23981,0.000780786,0.000780786,0.000780786
13,9.74039,3.12254,2.81937,2.95671,0,0,0,0,4.24511,4.19101,4.19703,0.000807057,0.000807057,0.000807057
14,10.5216,2.90541,2.68952,2.99697,0,0,0,0,4.23059,4.17728,4.18846,0.000827139,0.000827139,0.000827139
15,11.2099,2.91437,2.48172,2.76478,0,0,0,0,4.24797,4.30625,4.22527,0.000841033,0.000841033,0.000841033
16,11.9091,2.87084,2.57982,2.81451,0,0,0,0,4.22988,4.3651,4.24512,0.000848737,0.000848737,0.000848737
17,12.5981,2.87995,2.41993,2.67633,0.00556,0.03252,0.00298,0.00081,4.00734,4.14801,4.14583,0.000841835,0.000841835,0.000841835
18,13.3109,2.81574,2.27585,2.51895,0.00538,0.06098,0.02049,0.00944,3.40255,3.2862,3.66023,0.000790262,0.000790262,0.000790262
19,14.0048,2.90281,2.39213,2.57345,0.35957,0.0122,0.02583,0.01151,3.2272,3.11634,3.47922,0.000738689,0.000738689,0.000738689
20,14.7312,2.85172,2.22785,2.49648,0.24115,0.0122,0.02366,0.00958,3.02597,3.04153,3.11412,0.000687117,0.000687117,0.000687117
21,15.3986,2.72233,2.07862,2.36774,0.11034,0.0122,0.01796,0.007,2.91341,3.20082,2.92138,0.000635544,0.000635544,0.000635544
22,16.0966,2.71679,2.15659,2.37102,0.15505,0.05285,0.0414,0.01833,2.68579,2.65413,2.66649,0.000583971,0.000583971,0.000583971
23,17.5823,2.51286,2.08137,2.31812,0.20402,0.06504,0.06579,0.03047,2.59917,2.40105,2.57049,0.000532398,0.000532398,0.000532398
24,18.2386,2.50578,2.02509,2.34075,0.1999,0.06883,0.07879,0.03779,2.52117,2.31001,2.44403,0.000480825,0.000480825,0.000480825
25,18.8721,2.47758,1.98464,2.22058,0.22339,0.08152,0.08963,0.04116,2.48996,2.1939,2.40907,0.000429253,0.000429253,0.000429253
26,19.5117,2.51313,1.90909,2.21666,0.2263,0.13677,0.12729,0.05073,2.55949,1.87465,2.30788,0.00037768,0.00037768,0.00037768
27,20.146,2.42045,1.92316,2.18785,0.3526,0.17496,0.14693,0.06012,2.46903,1.71113,2.23126,0.000326107,0.000326107,0.000326107
28,20.7872,2.4612,1.86826,2.2037,0.36848,0.20617,0.16773,0.07385,2.36454,1.59795,2.15264,0.000274534,0.000274534,0.000274534
29,21.5579,2.41846,1.8467,2.08833,0.38855,0.2257,0.17947,0.07864,2.35127,1.56431,2.12867,0.000222961,0.000222961,0.000222961
30,22.1967,2.42166,1.94353,2.04215,0.47869,0.22977,0.20626,0.08877,2.29474,1.51612,2.08911,0.000171388,0.000171388,0.000171388
31,22.8305,2.31624,1.78499,2.03845,0.44986,0.23356,0.2195,0.09166,2.25911,1.50592,2.06774,0.000119816,0.000119816,0.000119816
32,23.472,2.36562,1.76346,2.07183,0.59435,0.22531,0.2285,0.09961,2.22518,1.47998,2.02143,6.82428e-05,6.82428e-05,6.82428e-05
