epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.21926,1.59941,1.23583,1.71236,0.79127,0.79342,0.83689,0.47721,1.44192,0.99362,1.50664,0.000542114,0.000542114,0.000542114
2,11.6266,1.53664,1.2152,1.60647,0.72071,0.78861,0.80877,0.45556,1.45318,1.21901,1.49073,0.00108691,0.00108691,0.00108691
3,17.1031,1.57051,1.17249,1.57238,0.75572,0.76885,0.83929,0.44873,1.49513,1.27936,1.6353,0.00162071,0.00162071,0.00162071
4,22.7008,1.64838,1.34945,1.72738,0.75645,0.80545,0.83716,0.41427,1.6336,1.1005,1.69144,0.00161749,0.00161749,0.00161749
5,28.1235,1.66421,1.42705,1.70001,0.73525,0.79435,0.83108,0.45632,1.47576,1.20465,1.56128,0.00160099,0.00160099,0.00160099
6,33.548,1.59914,1.24634,1.60885,0.78342,0.81542,0.87347,0.49427,1.4243,0.96211,1.51526,0.00158448,0.00158448,0.00158448
7,39.141,1.60095,1.18745,1.60866,0.76685,0.81518,0.8612,0.47172,1.47257,0.99385,1.51853,0.00156798,0.00156798,0.00156798
8,44.5874,1.58345,1.18748,1.60609,0.77574,0.82475,0.86672,0.49017,1.42925,0.95961,1.48997,0.00155148,0.00155148,0.00155148
9,50.0246,1.63966,1.18085,1.57456,0.77745,0.83049,0.88121,0.49144,1.45806,0.96376,1.53179,0.00153497,0.00153497,0.00153497
10,55.435,1.61536,1.16777,1.61912,0.81067,0.78116,0.86873,0.48659,1.43783,0.97693,1.51899,0.00151847,0.00151847,0.00151847
11,60.8262,1.55676,1.06456,1.5579,0.78128,0.83907,0.89927,0.50723,1.37819,0.96163,1.48397,0.00150197,0.00150197,0.00150197
12,66.2185,1.60349,1.14521,1.59925,0.81293,0.84686,0.89252,0.48168,1.54303,0.95168,1.56804,0.00148546,0.00148546,0.00148546
13,71.5708,1.61695,1.18944,1.62833,0.79948,0.82299,0.87444,0.49911,1.42618,0.97444,1.51778,0.00146896,0.00146896,0.00146896
14,76.9642,1.57753,1.15425,1.60529,0.79885,0.79296,0.87238,0.50359,1.35221,0.96133,1.45373,0.00145246,0.00145246,0.00145246
15,82.3225,1.5518,1.13665,1.60746,0.83484,0.80026,0.88571,0.49624,1.38233,0.91407,1.47954,0.00143595,0.00143595,0.00143595
16,87.7184,1.4629,1.06437,1.49823,0.83742,0.81948,0.89834,0.51344,1.36872,0.90729,1.4585,0.00141945,0.00141945,0.00141945
17,93.135,1.49707,1.06219,1.5301,0.81678,0.82511,0.8934,0.51888,1.35636,0.89522,1.44536,0.00140295,0.00140295,0.00140295
18,98.5382,1.48379,1.04527,1.52809,0.84769,0.76783,0.88451,0.51534,1.38247,0.86426,1.47377,0.00138644,0.00138644,0.00138644
