epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.21541,4.19829,4.8389,4.27869,0,0,0,0,3.76044,4.15326,4.15977,8.335e-05,8.335e-05,8.335e-05
2,3.9473,3.98857,4.57574,4.34424,0,0,0,0,3.76016,4.15152,4.15929,0.000177697,0.000177697,0.000177697
3,5.58624,4.11196,4.63591,4.20177,0,0,0,0,3.7596,4.15669,4.15903,0.000265855,0.000265855,0.000265855
4,7.33115,4.03158,4.21797,4.12784,0,0,0,0,3.75895,4.15933,4.15966,0.000347825,0.000347825,0.000347825
5,9.03341,3.86216,4.16007,4.09063,0,0,0,0,3.75946,4.16534,4.15991,0.000423606,0.000423606,0.000423606
6,10.7149,3.89429,4.17711,4.00187,0,0,0,0,3.7582,4.11597,4.16034,0.000493198,0.000493198,0.000493198
7,12.4216,3.57829,4.03982,3.91656,0,0,0,0,3.75744,4.0649,4.16213,0.000556601,0.000556601,0.000556601
8,14.1846,3.47173,3.7249,3.70936,0,0,0,0,3.75346,4.1256,4.17224,0.000613815,0.000613815,0.000613815
9,15.8058,3.37988,3.62021,3.62245,0,0,0,0,3.75425,4.16021,4.18216,0.000664841,0.000664841,0.000664841
10,17.4669,3.26855,3.33537,3.42699,0,0,0,0,3.75631,4.18384,4.1936,0.000709678,0.000709678,0.000709678
11,19.1236,3.13754,3.13495,3.23576,0.00037,0.00813,0.0002,4e-05,3.76766,4.29157,4.21684,0.000748327,0.000748327,0.000748327
12,20.773,3.08021,2.95035,3.12697,0.00037,0.00813,0.00019,9e-05,3.80578,4.32471,4.25054,0.000780786,0.000780786,0.000780786
13,22.4473,3.07533,2.84085,2.97663,0.00037,0.00813,0.00019,0.0001,3.7925,4.25345,4.22856,0.000807057,0.000807057,0.000807057
14,24.059,2.92829,2.82946,2.90527,0.0002,0.00407,0.0001,4e-05,3.74958,4.11804,4.18009,0.000827139,0.000827139,0.000827139
15,25.7367,2.87341,2.63491,2.79366,0.00021,0.00407,0.00011,3e-05,3.70665,4.11816,4.16056,0.000841033,0.000841033,0.000841033
16,27.3957,2.89742,2.61962,2.74902,0.00034,0.00407,0.00017,2e-05,3.60296,4.14276,4.13038,0.000848737,0.000848737,0.000848737
17,29.0406,2.83733,2.5415,2.66442,0.00163,0.02846,0.00465,0.00057,3.5619,4.0521,4.06825,0.000841835,0.000841835,0.000841835
18,30.7863,2.72679,2.40075,2.55605,0.00318,0.06911,0.02097,0.00889,3.45064,3.60899,3.61162,0.000790262,0.000790262,0.000790262
19,32.4389,2.80389,2.5397,2.66009,0.00298,0.06504,0.02914,0.01464,3.36519,3.46805,3.50016,0.000738689,0.000738689,0.000738689
20,34.153,2.68622,2.35951,2.47843,0.89351,0.0122,0.03145,0.01568,3.13695,3.18167,3.24842,0.000687117,0.000687117,0.000687117
21,35.7642,2.66965,2.25302,2.44536,0.80477,0.02439,0.04544,0.02049,3.04435,3.10673,3.1763,0.000635544,0.000635544,0.000635544
22,37.4648,2.65223,2.26495,2.41428,0.35996,0.04065,0.07961,0.03571,2.87054,2.72939,3.01171,0.000583971,0.000583971,0.000583971
23,40.0101,2.4341,2.18394,2.30332,0.24379,0.05032,0.08382,0.03544,2.8271,2.62617,2.95246,0.000532398,0.000532398,0.000532398
24,41.5204,2.47894,2.11873,2.33665,0.32845,0.08832,0.10992,0.04783,2.64878,2.38842,2.75002,0.000480825,0.000480825,0.000480825
25,43.0082,2.40289,2.07673,2.20589,0.37022,0.09996,0.14045,0.05762,2.5674,2.29524,2.65607,0.000429253,0.000429253,0.000429253
26,44.5028,2.43222,2.04945,2.20778,0.44982,0.11727,0.15869,0.05796,2.6177,2.32426,2.5391,0.00037768,0.00037768,0.00037768
27,45.9926,2.44463,2.06584,2.22371,0.38571,0.15885,0.17424,0.06199,2.6156,2.24914,2.48472,0.000326107,0.000326107,0.000326107
28,47.4871,2.39289,2.01611,2.20252,0.47983,0.23189,0.25834,0.09151,2.56623,2.00307,2.3826,0.000274534,0.000274534,0.000274534
29,48.9749,2.38124,1.98604,2.09884,0.46293,0.26358,0.28952,0.10257,2.53396,1.94253,2.33378,0.000222961,0.000222961,0.000222961
30,50.4741,2.40423,2.03098,2.08152,0.5161,0.28547,0.31988,0.12404,2.3656,1.79686,2.18494,0.000171388,0.000171388,0.000171388
31,51.9692,2.33103,1.96956,2.10115,0.48291,0.29878,0.32305,0.13517,2.28805,1.73681,2.14222,0.000119816,0.000119816,0.000119816
32,53.4689,2.30785,1.89447,2.11252,0.49758,0.31911,0.33544,0.14676,2.24863,1.66031,2.10368,6.82428e-05,6.82428e-05,6.82428e-05
