epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.10594,3.98381,4.87064,4.34417,0,0,0,0,3.73447,4.14023,4.16529,0.000542114,0.000542114,0.000542114
2,3.79338,3.79708,4.43882,4.17626,0,0,0,0,3.74591,4.06675,4.18314,0.00108691,0.00108691,0.00108691
3,5.5311,3.65644,4.36801,4.11823,0.00135,0.02033,0.0007,0.00011,3.8024,4.21046,4.22828,0.00162071,0.00162071,0.00162071
4,7.22123,3.51579,4.16197,3.98803,0.00547,0.09756,0.00566,0.00212,3.43023,3.69541,4.03585,0.00161749,0.00161749,0.00161749
5,8.92427,3.56581,4.21531,3.83775,0.97605,0.02439,0.03066,0.01554,3.43198,3.41807,4.00188,0.00160099,0.00160099,0.00160099
6,10.6399,3.36311,3.95104,3.63294,0.00735,0.11761,0.00455,0.00104,3.50558,6.73649,4.74155,0.00158448,0.00158448,0.00158448
7,12.3385,3.23243,3.7307,3.57465,0.03952,0.06098,0.02404,0.0087,3.12122,3.62823,3.90364,0.00156798,0.00156798,0.00156798
8,14.0352,3.14413,3.75343,3.4258,0.5563,0.06086,0.02648,0.00628,3.23882,3.29817,3.6159,0.00155148,0.00155148,0.00155148
9,15.7505,3.18467,3.77235,3.28038,0.555,0.13821,0.04211,0.01301,2.70423,2.92295,3.13846,0.00153497,0.00153497,0.00153497
10,17.4401,3.07347,3.49956,3.27,0.06225,0.10868,0.05051,0.01492,2.75792,2.98709,3.1707,0.00151847,0.00151847,0.00151847
11,19.1202,3.03406,3.28082,3.14408,0.08529,0.06042,0.05116,0.0222,2.80938,2.82123,3.20657,0.00150197,0.00150197,0.00150197
12,20.8219,3.00292,3.19993,3.05857,0.1378,0.08915,0.0758,0.02673,2.74803,2.53214,3.05128,0.00148546,0.00148546,0.00148546
13,22.5176,2.96736,3.06648,2.91791,0.28928,0.21357,0.11279,0.04327,2.73556,2.50122,2.85848,0.00146896,0.00146896,0.00146896
14,24.2251,2.92956,2.98049,2.84949,0.3367,0.17775,0.10538,0.04046,2.68732,2.39669,2.8207,0.00145246,0.00145246,0.00145246
15,26.008,2.8081,2.75498,2.78883,0.31108,0.20187,0.14074,0.04894,2.7348,2.53,2.83671,0.00143595,0.00143595,0.00143595
16,27.7102,2.79847,2.75522,2.71298,0.22721,0.21295,0.13817,0.05599,2.7407,2.55431,2.79279,0.00141945,0.00141945,0.00141945
17,29.4074,2.74548,2.63304,2.65916,0.18687,0.22487,0.14265,0.06216,2.59864,2.23946,2.62737,0.00140295,0.00140295,0.00140295
18,31.0964,2.72371,2.61609,2.5866,0.24262,0.2281,0.18069,0.07836,2.60506,2.03974,2.53009,0.00138644,0.00138644,0.00138644
19,32.7985,2.68458,2.49841,2.49608,0.28191,0.31076,0.23635,0.10341,2.56856,2.08627,2.46538,0.00136994,0.00136994,0.00136994
20,34.4928,2.63124,2.41189,2.4362,0.30098,0.33324,0.2101,0.08757,2.63124,2.08232,2.46879,0.00135344,0.00135344,0.00135344
21,36.2024,2.60726,2.291,2.35412,0.38279,0.36142,0.28111,0.12224,2.5451,1.85505,2.39774,0.00133693,0.00133693,0.00133693
22,37.8903,2.52698,2.33441,2.36626,0.30153,0.32465,0.24618,0.10911,2.44296,2.00383,2.43732,0.00132043,0.00132043,0.00132043
23,39.5843,2.49403,2.23112,2.30263,0.27033,0.35867,0.21604,0.09679,2.42656,1.98639,2.35642,0.00130393,0.00130393,0.00130393
24,41.2919,2.42676,2.15275,2.21888,0.38522,0.3641,0.30591,0.12986,2.35608,1.72502,2.2297,0.00128742,0.00128742,0.00128742
25,42.9725,2.41936,2.14592,2.23881,0.3495,0.40053,0.30199,0.14012,2.32021,1.7005,2.17559,0.00127092,0.00127092,0.00127092
26,44.6717,2.42492,2.11241,2.22177,0.35621,0.45889,0.33901,0.1513,2.29721,1.93603,2.14454,0.00125442,0.00125442,0.00125442
27,46.3541,2.35122,1.96301,2.16663,0.43834,0.39456,0.37622,0.18098,2.23147,1.63991,2.04364,0.00123791,0.00123791,0.00123791
28,48.0434,2.4173,2.14926,2.17327,0.46772,0.3362,0.34798,0.15726,2.23593,1.72246,2.04318,0.00122141,0.00122141,0.00122141
29,49.8077,2.39103,2.04434,2.15485,0.44934,0.38502,0.38508,0.18873,2.21117,1.66106,2.01504,0.00120491,0.00120491,0.00120491
30,51.5341,2.36723,1.92324,2.04541,0.47657,0.38322,0.41732,0.21575,2.25823,1.73888,2.01997,0.0011884,0.0011884,0.0011884
31,53.2543,2.34273,1.99337,2.03573,0.50616,0.39708,0.41398,0.19436,2.19643,1.58589,2.0137,0.0011719,0.0011719,0.0011719
32,54.953,2.29317,1.85012,2.00197,0.50346,0.47866,0.44373,0.21029,2.11044,1.57671,1.94134,0.0011554,0.0011554,0.0011554
33,56.6421,2.32181,1.90643,2.05395,0.48937,0.46813,0.466,0.21338,2.09124,1.57332,1.92154,0.00113889,0.00113889,0.00113889
34,58.3494,2.26574,1.84873,1.95981,0.60591,0.43228,0.47138,0.23264,2.03097,1.47628,1.87632,0.00112239,0.00112239,0.00112239
35,60.0462,2.31074,1.89178,2.05012,0.58944,0.43497,0.45519,0.22094,2.1219,1.4962,1.91027,0.00110589,0.00110589,0.00110589
36,61.7321,2.21739,1.82041,1.92107,0.657,0.45122,0.4776,0.23258,2.10098,1.46778,1.89644,0.00108938,0.00108938,0.00108938
37,63.4162,2.26908,1.78825,1.93228,0.68339,0.46953,0.50963,0.25894,2.02552,1.40198,1.8443,0.00107288,0.00107288,0.00107288
38,65.0988,2.26992,1.86131,1.99495,0.59131,0.5,0.51684,0.27419,1.91043,1.354,1.7927,0.00105638,0.00105638,0.00105638
39,66.822,2.20872,1.70036,1.89782,0.60688,0.47967,0.52932,0.27857,1.92228,1.3542,1.78538,0.00103987,0.00103987,0.00103987
40,68.5122,2.16324,1.7466,1.91105,0.71224,0.47906,0.55558,0.28442,1.91236,1.42067,1.75599,0.00102337,0.00102337,0.00102337
41,70.2269,2.14678,1.6426,1.83913,0.65023,0.4878,0.5414,0.27885,1.92375,1.34985,1.75512,0.00100687,0.00100687,0.00100687
42,71.9049,2.18201,1.71815,1.9171,0.71877,0.49933,0.56157,0.2846,1.90688,1.36252,1.73971,0.000990365,0.000990365,0.000990365
43,73.5911,2.14615,1.66554,1.84529,0.7088,0.51406,0.57389,0.29031,1.89009,1.34527,1.73645,0.000973861,0.000973861,0.000973861
44,75.3717,2.13138,1.64928,1.894,0.6789,0.50434,0.57322,0.29962,1.86077,1.29523,1.71988,0.000957358,0.000957358,0.000957358
45,77.0573,2.09538,1.61826,1.87755,0.68563,0.53575,0.60848,0.29345,1.86601,1.26256,1.7097,0.000940855,0.000940855,0.000940855
46,78.7347,2.17822,1.63317,1.82788,0.66238,0.54712,0.60425,0.30975,1.84765,1.20635,1.68972,0.000924352,0.000924352,0.000924352
47,80.4077,2.13695,1.61335,1.82633,0.67122,0.51265,0.58592,0.30749,1.85809,1.22517,1.69457,0.000907848,0.000907848,0.000907848
48,82.0855,2.14504,1.64861,1.88999,0.72838,0.48924,0.58421,0.30691,1.8358,1.23604,1.67645,0.000891345,0.000891345,0.000891345
49,83.771,2.18581,1.70324,1.87302,0.65447,0.57446,0.5946,0.29709,1.82561,1.25041,1.67009,0.000874842,0.000874842,0.000874842
50,85.458,2.13977,1.66636,1.83313,0.68016,0.50732,0.58698,0.30517,1.84966,1.22046,1.67708,0.000858338,0.000858338,0.000858338
51,87.165,2.07618,1.57512,1.75188,0.69775,0.49381,0.58563,0.31707,1.79896,1.2355,1.67285,0.000841835,0.000841835,0.000841835
52,88.8622,2.05516,1.56181,1.76304,0.69429,0.53751,0.62517,0.32751,1.8154,1.17018,1.64018,0.000825332,0.000825332,0.000825332
53,90.5415,2.0696,1.55767,1.80176,0.71761,0.54195,0.63075,0.34393,1.76237,1.13995,1.62057,0.000808828,0.000808828,0.000808828
54,92.2382,2.09612,1.52328,1.76025,0.74222,0.52604,0.62885,0.33969,1.77972,1.14477,1.62519,0.000792325,0.000792325,0.000792325
55,93.9173,2.06093,1.52656,1.71009,0.75873,0.53122,0.62981,0.32455,1.77411,1.1555,1.63777,0.000775822,0.000775822,0.000775822
56,95.5992,2.04972,1.57338,1.78289,0.73763,0.58121,0.65078,0.33917,1.76387,1.15761,1.60501,0.000759318,0.000759318,0.000759318
