epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.16155,3.98381,4.87064,4.34417,0,0,0,0,3.73447,4.14023,4.16529,0.000542114,0.000542114,0.000542114
2,3.84824,3.79439,4.43645,4.17894,0,0,0,0,3.74577,4.06882,4.18217,0.00107604,0.00107604,0.00107604
3,5.54271,3.65335,4.3757,4.12043,0,0,0,0,3.78473,4.21549,4.23077,0.00158797,0.00158797,0.00158797
4,7.22478,3.54442,4.21857,3.98591,0.00259,0.04065,0.00153,0.00046,3.64758,3.98031,4.15558,0.00156798,0.00156798,0.00156798
5,8.92667,3.55192,4.23173,3.83849,0.54362,0.02846,0.00984,0.00366,3.23665,3.42329,4.11299,0.00153497,0.00153497,0.00153497
6,10.623,3.33499,3.97479,3.67376,0.59801,0.03659,0.03345,0.0155,3.00026,3.81929,3.7254,0.00150197,0.00150197,0.00150197
7,12.3404,3.20062,3.7382,3.55833,0.53099,0.04878,0.00954,0.00389,3.01859,9.43128,3.48366,0.00146896,0.00146896,0.00146896
8,14.0068,3.14509,3.74538,3.40217,0.14655,0.11354,0.02234,0.00671,2.89177,3.40342,3.40401,0.00143595,0.00143595,0.00143595
9,15.6916,3.10484,3.62411,3.24177,0.08255,0.08888,0.04235,0.01625,2.8147,3.09801,3.43577,0.00140295,0.00140295,0.00140295
10,17.3817,2.98726,3.23451,3.15066,0.69408,0.10163,0.10292,0.03665,2.75418,2.65174,3.12826,0.00136994,0.00136994,0.00136994
11,19.0653,2.96948,3.09506,3.05295,0.28608,0.13304,0.11157,0.04254,2.68452,2.52344,3.00257,0.00133693,0.00133693,0.00133693
12,20.7531,2.89943,3.03667,2.94277,0.19819,0.16122,0.1153,0.04763,2.63265,2.59177,3.00221,0.00130393,0.00130393,0.00130393
13,22.4333,2.89218,2.9333,2.83748,0.19303,0.15953,0.1228,0.04659,2.60768,2.44313,2.80467,0.00127092,0.00127092,0.00127092
14,24.1093,2.83849,2.91505,2.81212,0.22154,0.16389,0.12666,0.0513,2.55557,2.29185,2.82339,0.00123791,0.00123791,0.00123791
15,25.8872,2.72957,2.73072,2.77033,0.27241,0.23356,0.15057,0.06416,2.50559,2.20097,2.75299,0.00120491,0.00120491,0.00120491
16,27.5657,2.73884,2.68851,2.67017,0.24696,0.21729,0.18967,0.08285,2.44205,2.17149,2.69586,0.0011719,0.0011719,0.0011719
17,29.2859,2.71017,2.58165,2.61397,0.20818,0.25656,0.13971,0.05198,2.6024,2.23149,2.6939,0.00113889,0.00113889,0.00113889
18,30.9662,2.70092,2.5835,2.60821,0.24108,0.29693,0.15942,0.05328,2.62878,2.11828,2.65797,0.00110589,0.00110589,0.00110589
19,32.6706,2.64528,2.47063,2.53258,0.32608,0.31781,0.20918,0.08565,2.42235,1.90962,2.5175,0.00107288,0.00107288,0.00107288
20,34.3661,2.59304,2.4183,2.46252,0.30635,0.35763,0.21885,0.09823,2.36195,1.99029,2.35786,0.00103987,0.00103987,0.00103987
21,36.073,2.57151,2.28988,2.37727,0.29064,0.33592,0.22114,0.0905,2.45581,1.90914,2.35657,0.00100687,0.00100687,0.00100687
22,37.7565,2.51977,2.35375,2.39565,0.28761,0.35107,0.24175,0.09978,2.4961,1.86313,2.33841,0.000973861,0.000973861,0.000973861
23,39.4695,2.55378,2.27373,2.36324,0.34932,0.31476,0.26365,0.11399,2.48957,1.86978,2.31026,0.000940855,0.000940855,0.000940855
24,41.2032,2.48974,2.17409,2.28722,0.3532,0.39117,0.30854,0.13752,2.43074,1.8318,2.27575,0.000907848,0.000907848,0.000907848
25,42.9571,2.46304,2.20062,2.30984,0.38481,0.37195,0.29003,0.12739,2.34047,1.81958,2.25104,0.000874842,0.000874842,0.000874842
26,44.6871,2.48843,2.18135,2.2927,0.49993,0.31208,0.3038,0.13191,2.35308,1.80295,2.23176,0.000841835,0.000841835,0.000841835
