epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,22.2288,1.82187,1.31746,1.57377,0.77088,0.65078,0.71008,0.38774,1.58318,0.98664,1.50207,0.00146896,0.00146896,0.00146896
14,23.9103,1.83181,1.31209,1.58106,0.76831,0.66911,0.71303,0.39196,1.58557,0.98591,1.49617,0.00145246,0.00145246,0.00145246
15,25.5599,1.79549,1.2581,1.58847,0.78396,0.64278,0.71325,0.40273,1.5694,0.99324,1.47339,0.00143595,0.00143595,0.00143595
16,27.2331,1.72382,1.21968,1.51236,0.89137,0.55248,0.71369,0.40485,1.60317,0.9832,1.46796,0.00141945,0.00141945,0.00141945
17,28.8971,1.79344,1.23279,1.52118,0.8503,0.58874,0.72509,0.41021,1.53829,0.95268,1.42314,0.00140295,0.00140295,0.00140295
18,30.5641,1.73264,1.22406,1.51499,0.85844,0.5954,0.74043,0.40767,1.5118,0.9955,1.41021,0.00138644,0.00138644,0.00138644
19,32.2244,1.75979,1.21203,1.50228,0.76368,0.64852,0.71593,0.4045,1.49894,0.96972,1.4131,0.00136994,0.00136994,0.00136994
20,33.8904,1.71072,1.18596,1.47545,0.82753,0.63779,0.75975,0.42566,1.50989,0.95262,1.40797,0.00135344,0.00135344,0.00135344
21,35.5824,1.67284,1.13831,1.43512,0.78189,0.68302,0.74551,0.40762,1.52171,0.94639,1.41094,0.00133693,0.00133693,0.00133693
22,37.261,1.6955,1.18809,1.47593,0.80101,0.65678,0.74669,0.41236,1.53763,0.93754,1.40876,0.00132043,0.00132043,0.00132043
23,38.9542,1.7352,1.17697,1.48691,0.78393,0.69198,0.7533,0.42131,1.55556,0.93982,1.42257,0.00130393,0.00130393,0.00130393
24,40.6576,1.67067,1.13038,1.45338,0.8411,0.61341,0.73114,0.42697,1.5134,0.92252,1.41144,0.00128742,0.00128742,0.00128742
25,42.3137,1.67045,1.15051,1.46557,0.89513,0.61036,0.74312,0.42305,1.55344,0.94621,1.39408,0.00127092,0.00127092,0.00127092
26,44.0163,1.71887,1.1624,1.46052,0.90381,0.60717,0.74439,0.42306,1.48442,0.93063,1.35906,0.00125442,0.00125442,0.00125442
27,45.7706,1.65964,1.09528,1.4656,0.74791,0.70967,0.7794,0.43554,1.44932,0.86243,1.35638,0.00123791,0.00123791,0.00123791
28,47.4438,1.65332,1.16733,1.46181,0.87753,0.64385,0.77814,0.42217,1.56833,0.89068,1.41162,0.00122141,0.00122141,0.00122141
29,49.0934,1.66931,1.14151,1.45497,0.82311,0.65484,0.77137,0.43977,1.4031,0.88238,1.31216,0.00120491,0.00120491,0.00120491
30,50.809,1.615,1.07381,1.36573,0.83754,0.69032,0.77417,0.4452,1.40361,0.89497,1.29586,0.0011884,0.0011884,0.0011884
31,52.5017,1.65066,1.13633,1.40571,0.74954,0.67008,0.73734,0.40561,1.5227,0.9265,1.37064,0.0011719,0.0011719,0.0011719
32,54.1802,1.6222,1.06496,1.40208,0.84682,0.62861,0.75787,0.44657,1.369,0.87976,1.31595,0.0011554,0.0011554,0.0011554
33,55.88,1.62675,1.0882,1.4359,0.86779,0.63728,0.75693,0.43281,1.4045,0.88136,1.31734,0.00113889,0.00113889,0.00113889
34,57.6301,1.59674,1.06921,1.37777,0.79966,0.70938,0.75988,0.43878,1.42375,0.86563,1.31962,0.00112239,0.00112239,0.00112239
35,59.307,1.62947,1.09201,1.44642,0.77293,0.72984,0.77835,0.43488,1.45047,0.84656,1.3342,0.00110589,0.00110589,0.00110589
36,60.9869,1.55489,1.05355,1.36743,0.7853,0.7144,0.79699,0.44097,1.45145,0.84464,1.33417,0.00108938,0.00108938,0.00108938
37,62.7076,1.57305,1.03757,1.38709,0.74832,0.73028,0.78409,0.44954,1.36612,0.84479,1.30924,0.00107288,0.00107288,0.00107288
38,64.4343,1.60556,1.08628,1.4461,0.85047,0.65974,0.77961,0.45026,1.43348,0.83705,1.33394,0.00105638,0.00105638,0.00105638
39,66.1247,1.55958,1.02169,1.36912,0.71191,0.74935,0.7871,0.45804,1.4152,0.81504,1.33964,0.00103987,0.00103987,0.00103987
40,67.8183,1.54947,1.0275,1.39679,0.80637,0.67461,0.78151,0.4533,1.37231,0.8148,1.32521,0.00102337,0.00102337,0.00102337
41,69.5551,1.55449,1.00375,1.35401,0.77701,0.74886,0.78945,0.45697,1.38272,0.80202,1.29362,0.00100687,0.00100687,0.00100687
42,71.2672,1.52769,1.02275,1.38604,0.76721,0.75074,0.79018,0.45903,1.36194,0.81958,1.28938,0.000990365,0.000990365,0.000990365
43,72.9451,1.49837,1.05019,1.34912,0.80102,0.74515,0.79199,0.46242,1.35623,0.82688,1.31103,0.000973861,0.000973861,0.000973861
44,74.7556,1.54198,1.03756,1.39352,0.82362,0.71016,0.79601,0.47502,1.37703,0.85161,1.30288,0.000957358,0.000957358,0.000957358
45,76.4274,1.50006,1.00144,1.3914,0.81559,0.72261,0.80048,0.47522,1.36586,0.80108,1.29936,0.000940855,0.000940855,0.000940855
46,78.0965,1.53518,0.99005,1.35739,0.78698,0.72352,0.7765,0.44929,1.39135,0.80154,1.29956,0.000924352,0.000924352,0.000924352
47,79.7614,1.5282,1.00274,1.3558,0.79629,0.71068,0.78139,0.45895,1.3675,0.77848,1.29655,0.000907848,0.000907848,0.000907848
48,81.4299,1.50394,0.99254,1.39503,0.78026,0.74422,0.78535,0.46045,1.3281,0.76381,1.27637,0.000891345,0.000891345,0.000891345
